step,R_mean,R_std,V_mean,V_std,KL,entropy,Loss
2400,0.377,1.450,0.377,0.950,0.0031,0.0825,0.3445
2410,0.446,1.374,0.617,0.947,0.0131,0.0803,0.3391
2420,0.377,1.176,0.251,0.803,0.0191,0.0729,0.3875
2430,0.547,1.186,0.233,0.892,0.0115,0.0842,0.4451
2440,0.438,1.390,0.117,0.819,0.0050,0.0737,0.5625
2450,0.388,1.158,0.154,0.780,0.0035,0.0740,0.3960
2460,0.090,1.392,0.271,0.912,0.0296,0.0732,0.3742
2470,0.318,1.262,0.165,0.886,0.0072,0.0746,0.5268
2480,0.667,1.335,0.528,0.942,0.0080,0.0733,0.3328
2490,0.354,1.522,0.383,0.987,0.0114,0.0723,0.5255
2500,0.642,1.194,0.822,0.761,0.0035,0.0690,0.3102
2510,0.530,1.316,0.288,0.820,0.0075,0.0880,0.4183
2520,0.313,1.416,0.346,0.888,0.0314,0.0776,0.3605
2530,0.188,1.485,0.271,1.062,0.0224,0.0760,0.5562
2540,0.330,1.378,0.798,0.875,0.0260,0.0673,0.6450
2550,-0.109,1.265,-0.078,0.930,0.0190,0.0700,0.3433
2560,-0.065,1.507,0.138,0.970,0.0478,0.0773,0.6140
2570,0.060,1.349,0.392,0.963,0.0062,0.0665,0.4939
2580,0.469,1.297,0.349,0.835,0.0222,0.0672,0.5119
2590,0.921,1.093,0.798,0.768,0.0221,0.0681,0.3068
2600,0.215,1.390,0.511,0.782,0.0329,0.0739,0.8732
2610,0.248,1.319,0.393,0.902,0.0065,0.0820,0.3708
2620,0.331,1.416,0.405,0.914,0.0736,0.0752,0.4639
2630,0.329,1.299,0.122,0.996,0.0168,0.0914,0.3670
2640,0.646,1.289,0.534,0.734,0.0163,0.0718,0.3915
2650,0.559,1.356,0.539,0.803,0.0131,0.0714,0.5115
2660,-0.185,1.196,0.031,0.640,0.0202,0.0837,0.4928
2670,-0.041,1.353,0.206,0.762,0.0149,0.0672,0.6077
2680,0.197,1.429,0.610,0.942,0.0203,0.0747,0.7087
2690,-0.335,1.560,0.619,0.894,0.1272,0.0735,1.3306
2700,0.157,1.289,0.120,0.908,0.0098,0.0779,0.4060
2710,1.147,0.812,0.687,0.696,0.0474,0.0778,0.3367
2720,0.582,1.275,0.649,0.861,0.1183,0.0746,0.2679
2730,0.445,1.338,0.206,1.185,0.0492,0.0827,0.4554
2740,0.107,1.499,0.287,1.000,0.1997,0.0790,0.4529
2750,-0.033,1.459,0.057,0.938,0.0209,0.0778,0.7004
2760,0.279,1.458,0.378,0.980,0.0130,0.0694,0.6320
2770,-0.215,1.267,-0.130,0.889,0.0333,0.0795,0.4177
2780,0.302,1.376,0.239,0.869,0.0336,0.0749,0.6062
2790,-0.157,1.239,0.022,0.834,0.0128,0.0742,0.3370
2800,0.240,1.222,-0.264,0.713,0.0110,0.0836,0.6870
2810,0.311,1.387,0.577,0.939,0.0237,0.0708,1.0788
2820,0.186,1.421,0.458,0.901,0.0290,0.0800,0.7257
2830,1.078,1.006,0.892,0.907,0.0151,0.0759,0.2006
2840,-0.325,1.221,0.299,0.851,0.0374,0.0702,0.5185
2850,0.894,1.120,0.886,0.770,0.0224,0.0669,0.2872
2860,0.930,1.072,0.778,0.866,0.0039,0.0737,0.2635
2870,0.036,1.187,0.160,0.780,0.0133,0.0768,0.3494
2880,0.382,1.297,0.563,0.821,0.0093,0.0721,0.6463
2890,0.344,1.215,0.305,0.709,0.0128,0.0746,0.4830
2900,0.462,1.153,0.554,0.851,0.0068,0.0699,0.2564
2910,-0.260,1.394,0.071,0.930,0.0185,0.0771,0.8324
2920,0.564,1.198,0.517,0.783,0.0697,0.0665,0.2855
2930,1.083,1.379,0.940,1.160,0.0269,0.0655,0.1532
